month,cost_center,account_gl,planned_usd,actual_usd,variance_usd,variance_pct,responsible_manager,comment
2024-01,Logistics,Freight,61702.2,71584.56,9882.36,16.02,Bob,Review contract
2024-01,Logistics,Warehouse rent,20011.44,19034.21,-977.23,-4.88,Bob,
2024-01,Logistics,Fuel,34675.59,29341.42,-5334.17,-15.38,Felipe,
2024-01,IT,Cloud services,38626.02,37574.63,-1051.39,-2.72,Felipe,
2024-01,IT,Software licenses,59676.75,63818.82,4142.07,6.94,Alice,
2024-01,IT,Hardware,61919.45,70749.77,8830.32,14.26,Daniel,One-time cost
2024-01,Marketing,Paid media,40445.22,50114.0,9668.78,23.91,Elena,Review contract
2024-01,Marketing,Events,22738.76,25813.81,3075.05,13.52,Daniel,One-time cost
2024-01,Marketing,Agency fees,61730.48,66628.48,4898.0,7.93,Alice,
2024-01,HR,Recruiting,34038.69,30602.51,-3436.18,-10.09,Alice,
2024-01,HR,Training,100074.46,128508.7,28434.24,28.41,Elena,One-time cost
2024-01,HR,Benefits,51342.42,58846.7,7504.28,14.62,Daniel,One-time cost
2024-01,Customer Support,Call center,107638.92,134258.38,26619.46,24.73,Bob,One-time cost
2024-01,Customer Support,Chat software,28504.42,23360.15,-5144.27,-18.05,Carla,
2024-01,Operations,Utilities,36983.04,45824.62,8841.58,23.91,Alice,One-time cost
2024-01,Operations,Maintenance,29834.68,30149.55,314.87,1.06,Alice,
2024-01,Finance,Consulting,115788.95,123498.48,7709.53,6.66,Daniel,
2024-01,Finance,Audit,89187.71,85420.23,-3767.48,-4.22,Carla,
2024-02,Logistics,Freight,88650.09,107914.89,19264.8,21.73,Elena,Review contract
2024-02,Logistics,Warehouse rent,21828.83,25650.45,3821.62,17.51,Alice,One-time cost
2024-02,Logistics,Fuel,118886.11,139582.14,20696.03,17.41,Elena,One-time cost
2024-02,IT,Cloud services,48044.4,57395.75,9351.35,19.46,Alice,Review contract
2024-02,IT,Software licenses,30322.6,31048.73,726.13,2.39,Daniel,
2024-02,IT,Hardware,110859.55,104962.61,-5896.94,-5.32,Felipe,
2024-02,Marketing,Paid media,48777.53,42193.26,-6584.27,-13.5,Felipe,
2024-02,Marketing,Events,21936.7,24995.07,3058.37,13.94,Elena,One-time cost
2024-02,Marketing,Agency fees,41162.81,38395.57,-2767.24,-6.72,Felipe,
2024-02,HR,Recruiting,69157.32,57171.06,-11986.26,-17.33,Elena,
2024-02,HR,Training,77411.76,67608.67,-9803.09,-12.66,Alice,
2024-02,HR,Benefits,78930.55,90760.6,11830.05,14.99,Alice,One-time cost
2024-02,Customer Support,Call center,30233.44,30445.92,212.48,0.7,Felipe,
2024-02,Customer Support,Chat software,89440.02,90074.12,634.1,0.71,Carla,
2024-02,Operations,Utilities,24995.35,26693.74,1698.39,6.79,Bob,
2024-02,Operations,Maintenance,86379.46,91341.49,4962.03,5.74,Felipe,
2024-02,Finance,Consulting,114459.48,125135.98,10676.5,9.33,Daniel,
2024-02,Finance,Audit,110340.19,95856.64,-14483.55,-13.13,Felipe,
2024-03,Logistics,Freight,33927.63,40838.54,6910.91,20.37,Carla,Review contract
2024-03,Logistics,Warehouse rent,59767.68,52755.56,-7012.12,-11.73,Carla,
2024-03,Logistics,Fuel,112750.86,109806.14,-2944.72,-2.61,Daniel,
2024-03,IT,Cloud services,95081.21,110579.35,15498.14,16.3,Alice,Review contract
2024-03,IT,Software licenses,108330.61,120445.88,12115.27,11.18,Bob,One-time cost
2024-03,IT,Hardware,95094.24,92664.5,-2429.74,-2.56,Daniel,
2024-03,Marketing,Paid media,46992.79,58644.33,11651.54,24.79,Elena,Review contract
2024-03,Marketing,Events,62809.12,80547.67,17738.55,28.24,Alice,One-time cost
2024-03,Marketing,Agency fees,86344.15,95915.21,9571.06,11.08,Elena,One-time cost
2024-03,HR,Recruiting,31474.6,40122.08,8647.48,27.47,Felipe,One-time cost
2024-03,HR,Training,64991.21,70788.09,5796.88,8.92,Bob,
2024-03,HR,Benefits,60813.68,55858.19,-4955.49,-8.15,Felipe,
2024-03,Customer Support,Call center,110337.95,119919.67,9581.72,8.68,Carla,
2024-03,Customer Support,Chat software,20287.03,22489.64,2202.61,10.86,Carla,One-time cost
2024-03,Operations,Utilities,52664.49,56010.22,3345.73,6.35,Alice,
2024-03,Operations,Maintenance,108594.21,106274.08,-2320.13,-2.14,Elena,
2024-03,Finance,Consulting,110853.52,123233.65,12380.13,11.17,Carla,One-time cost
2024-03,Finance,Audit,21582.12,27295.31,5713.19,26.47,Daniel,One-time cost
2024-04,Logistics,Freight,89089.69,115697.34,26607.65,29.87,Elena,Review contract
2024-04,Logistics,Warehouse rent,37234.05,32340.3,-4893.75,-13.14,Bob,
2024-04,Logistics,Fuel,113259.55,130068.3,16808.75,14.84,Alice,One-time cost
