ProdutoID,Nome_Produto,Categoria,Subcategoria,Marca,Custo_Unit,Preco_Lista,Ativo,Data_Lancamento
P000001,Produto P000001,Higiene,Sabonetes,Nordic,14.2,23.7,True,2024-08-24
P000002,Produto P000002,Frios & Laticínios,Manteiga,TopBrasil,12.63,17.85,True,2024-01-19
P000003,Produto P000003,Bebidas,Cervejas,Nordic,5.97,10.73,True,2023-01-05
P000004,Produto P000004,Frios & Laticínios,Leite,ValeVerde,8.7,12.71,True,2024-02-06
P000005,Produto P000005,Frios & Laticínios,Leite,TopBrasil,5.02,7.49,True,2024-12-30
P000006,Produto P000006,Frios & Laticínios,Manteiga,Nordic,7.82,10.4,True,2024-03-06
P000007,Produto P000007,Bebidas,Águas,ValeVerde,5.4,7.11,True,2022-07-05
P000008,Produto P000008,Bebidas,Refrigerantes,ValeVerde,10.51,17.37,True,2022-01-10
P000009,Produto P000009,Limpeza,Detergentes,Nordic,10.69,19.16,False,2022-06-13
P000010,Produto P000010,Limpeza,Amaciantes,Acme,5.56,9.99,True,2024-03-13
P000011,Produto P000011,Frios & Laticínios,Iogurtes,ValeVerde,5.29,8.47,True,2023-12-22
P000012,Produto P000012,Bebidas,Energéticos,Acme,15.09,25.58,True,2024-07-11
P000013,Produto P000013,Limpeza,Esponjas,RioDoce,8.25,10.96,True,2025-02-22
P000014,Produto P000014,Frios & Laticínios,Requeijão,RioDoce,9.96,14.77,True,2023-09-09
P000015,Produto P000015,Higiene,Sabonetes,Prime+,11.27,14.53,True,2023-10-16
P000016,Produto P000016,Frios & Laticínios,Leite,SulMax,7.03,12.3,True,2024-04-17
P000017,Produto P000017,Limpeza,Desinfetantes,ValeVerde,4.75,8.18,True,2022-09-29
P000018,Produto P000018,Higiene,Sabonetes,Prime+,7.27,12.6,True,2025-05-02
P000019,Produto P000019,Bebidas,Sucos,Nordic,8.26,10.92,True,2023-06-14
P000020,Produto P000020,Frios & Laticínios,Requeijão,ValeVerde,8.5,12.63,True,2022-02-18
P000021,Produto P000021,Mercearia,Snacks,SulMax,5.4,7.04,True,2024-04-19
P000022,Produto P000022,Mercearia,Molhos,ValeVerde,7.57,10.23,True,2023-07-05
P000023,Produto P000023,Frios & Laticínios,Iogurtes,EcoVida,12.03,20.76,True,2024-02-21
P000024,Produto P000024,Higiene,Desodorantes,Acme,7.35,11.64,True,2025-01-31
P000025,Produto P000025,Frios & Laticínios,Requeijão,Acme,8.57,10.72,True,2024-08-30
P000026,Produto P000026,Limpeza,Lava-roupas,Nordic,8.28,10.52,False,2024-06-15
P000027,Produto P000027,Frios & Laticínios,Requeijão,TopBrasil,10.72,17.93,True,2023-01-24
P000028,Produto P000028,Frios & Laticínios,Iogurtes,Nordic,10.08,14.05,True,2023-09-08
P000029,Produto P000029,Bebidas,Sucos,TopBrasil,8.21,14.73,True,2022-08-10
P000030,Produto P000030,Limpeza,Esponjas,Nordic,8.3,12.29,False,2023-07-26
P000031,Produto P000031,Limpeza,Desinfetantes,ValeVerde,13.67,18.12,True,2022-09-22
P000032,Produto P000032,Higiene,Fraldas,TopBrasil,15.34,26.71,True,2024-09-17
P000033,Produto P000033,Limpeza,Desinfetantes,ValeVerde,18.18,25.85,True,2024-07-03
P000034,Produto P000034,Higiene,Fraldas,SulMax,11.64,18.1,True,2023-05-10
P000035,Produto P000035,Mercearia,Café/Chá,Prime+,24.64,34.91,True,2022-06-23
P000036,Produto P000036,Higiene,Sabonetes,TopBrasil,4.82,7.0,True,2024-02-20
P000037,Produto P000037,Bebidas,Energéticos,SulMax,3.77,6.27,True,2025-02-27
P000038,Produto P000038,Limpeza,Esponjas,Prime+,9.21,13.73,True,2022-09-08
P000039,Produto P000039,Bebidas,Sucos,SulMax,11.38,19.97,True,2023-08-05
P000040,Produto P000040,Higiene,Shampoo,RioDoce,14.26,18.7,True,2022-07-23
P000041,Produto P000041,Limpeza,Lava-roupas,EcoVida,11.79,20.48,True,2024-04-16
P000042,Produto P000042,Bebidas,Águas,EcoVida,6.27,9.6,True,2022-12-06
